ID_Accidente,Fecha,Hora,Ubicacion,Operador,Número_Vuelo,Ruta,Tipo_Aeronave,Matricula,Número_Construccion,Total_Pasajeros,Pasajeros_A Bordo,Tripulacion_A Bordo,Total_Fallecidos,Fallecidos_Pasajeros,Fallecidos_Tripulacion,Fallecidos_En_Tierra,Resumen,Año
179,1929-01-31,?,Off Morocco,Aeropostale,?,Agadir - Casablanca,Latecoere 26,F-AIMUF-AIMU,674,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons.",1929
2418,1969-07-26,0130,"Biskra, Algeria",Air Algerie,?,Marseille- Algiers - Hassi Messaoud,Sud Aviation SE-210 Caravelle 6N,7T-VAK,073/73,37.0,30.0,7.0,33.0,30.0,3.0,0.0,Crash landed while attempting an emergency landing after a fire in an electrical panel led to a cabin fire.,1969
4265,2000-04-19,0702,"Samal Island, Philippines",Air Philippines,541,Manila - Davao,Boeing B-737-2H4,RP-C3010,21447/508,131.0,124.0,7.0,131.0,124.0,7.0,0.0,"The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1,500 feet.",2000
297,1932-11-02,?,"Echterpfuhl, Germany",Deutsche Lufthansa,?,Nuremberg - Frankfort,Junkers F-13,D-724,696,5.0,3.0,2.0,5.0,3.0,2.0,0.0,"Crashed into mountainous terrain in the Spessart mountains in fog, after a wing separated from the aircraft due to overstressing..",1932
1891,1961-05-10,0112,"Ghadames, Algeria",Air France,406,"Fort Lamy, Chad - Marseilles, France",Lockheed 1649A Starliner,F-BHBM,1027,78.0,69.0,9.0,78.0,69.0,9.0,0.0,"While en route from Fort Lamy, Chad to Marseilles, France, the airliner crashed and burned in the Sahara Desert on the Algeria / Libya border. Detonation of a nitrocellulose bomb.",1961
4383,2002-03-17,0802,"Off Djibouti, Republic of Djibouti",Djibouti Airlines,?,"Mogadishu, Somalia - Djibouti",Let 410UVP-E,J2-KBC,912537,4.0,0.0,4.0,4.0,0.0,4.0,0.0,The cargo plane crashed into the ocean while on approach to Runway 27.,2002
279,1932-02-27,?,"Off Setiba, Brazil",Aeropostale,?,?,Latecoere 28,F-AJOX,917,3.0,0.0,3.0,3.0,0.0,3.0,0.0,Crashed into the ocean after flying into a thunderstorm.,1932
228,1930-08-22,c 15:45,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,?,Prague - Bratislava,Ford 5-AT-C Tri Motor,OK-FOR,5-AT-050,11.0,10.0,1.0,10.0,9.0,1.0,0.0,Crashed when the pilot made a sharp turn to avoid a chimney and lost control of the aircraft.,1930
1501,1955-01-19,1625,"Des Moines, Iowa",United Air Lines,329,Newark - Des Moines - Lincoln,Convair CV-340,N73154,180,39.0,36.0,3.0,0.0,0.0,0.0,0.0,Almost complete loss of elevator control and severe vibration was experienced shortly after taking off from Des Moines. The plane when into a steep climb and almost stalled but the captain applied full power and went into a steep dive. The captain then reduced power and headed for open country where the aircraft safely made an emergency wheels up  landing in a corn field.  A series of omissions made by maintenance personnel during a scheduled inspection which resulted in the release of the aircraft in an unairworthy condition and an almost complete loss of elevator control during flight.,1955
1837,1960-07-06,1430,"Off Barnegat City, New Jersey",Military - U.S. Navy,?,?,Goodyear ZPG-3W (airship),144242,?,21.0,,,18.0,,,0.0,"The airship crashed nose-first into the Atlantic Ocean, 10 miles off the coast of New Jersey. The  failure of a seam due to some unknown factor that degraded the adhesive.",1960
3655,1990-07-31,?,"Near Huanuco, Peru",Servicio Expresso Nacional,?,?,Beech King Air B90,OB-1362,LJ-0448,9.0,8.0,1.0,9.0,8.0,1.0,0.0,Crashed during an emergency landing.,1990
3992,1995-11-13,0855,"Kaduna, Nigeria",Nigeria Airways,357,Jos - Kano,Boeing B-737-2F9,5N-AUA,22985,137.0,129.0,8.0,9.0,9.0,0.0,0.0,"The aircraft touched down halfway down the runway, veered off the runway where dry grass caught fire under the aircraft and eventually spread destroying the aircraft.",1995
2313,1967-12-08,?,"Carpich Huanuco Mt., Peru",Faucett,?,Huanuco - Tingo Maria,Douglas DC-C-54A,OB-R-148,10284,72.0,66.0,6.0,72.0,66.0,6.0,0.0,"The plane flew into 10,500 ft. Carpish Mountain,30 miles from Tingo Maria.",1967
841,1946-01-09,?,"Changchun, China",Military - Chinese Air Force,?,?,Douglas C-47,?,?,18.0,,,18.0,,,0.0,?,1946
168,1928-11-25,?,"Bristolville, Ohio",National Air Transport,?,?,Douglas M-4,NC792,650,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed in a snow storm.,1928
4967,2018-03-11,1809,"81 miles SW o fShahre Kurd, Iran",Mc Aviation,?,Sharjar - Istanbul,Canadair CL-600-2B16 Challenger 604,TC-TRB,5494,11.0,8.0,3.0,11.0,8.0,3.0,0.0,"While enr oute, the aiircraft impacted the side of a mountain. Before reaching altitude, the left and right airspeed indicators began to diverge by more than 10 knots. The left  airspeed indicator showed an increase while the right hand airspeed indicator showed a decrease. Insufficient operational prerequisites for the management of erratic airspeed indication by the cockpit crew.",2018
1813,1960-01-26,1230,"Off Bathurst Island, Australia",Transportes Aéreos de Timor,?,Darwin - Baucau,de Havilland DH-114 Heron 2D,CR-TAI,14132,9.0,7.0,2.0,9.0,7.0,2.0,0.0,Radio contact was lost with the aircraft before it crashed into the ocean. Poor weather.  Unqualified pilot.,1960
4139,1998-03-22,1942,"Bacolod, Philippines",Philippine Air Lines,137,Manila - Bacolod,Airbus A.320-214,RP-C3222,708,127.0,121.0,6.0,0.0,0.0,0.0,3.0,"The aircraft overran the 6,888 ft. runway, went through a concrete perimeter fence, crossed a small river and hit a karaoke house before stopping near a market. The plane was (legally) released from Manila with the No. 1 reverser deactivated. The plane landed mid-runway and the crew incorrectly used the No. 2 reverser to try and stop the plane causing it to veer to the right. The No. 2 engine was then to set to forward thrust steering the plane back on the runway.  A go-around was attempted but it was too late and the aircraft overran the runway.",1998
1769,1959-05-21,?,"Moro, Peru",Lineas Aéreas Interpolar,?,Miami - Panama City - Talara - Arica,Curtiss C-46A-50-CU,CC-CIA-497,30482,8.0,4.0,4.0,8.0,4.0,4.0,0.0,Crashed into a  mountain while en route..,1959
1029,1948-03-07,?,"Near Skalafell, Iceland",Loftleidir Icelandic Airlines,?,Vestmannaeyjar - Reykjavik,Avro Anson,TF-RVL,4185,4.0,2.0,2.0,4.0,2.0,2.0,0.0,Crashed into a slope of Mt Skalafell located near Hellisheioi in poor weather condtions.,1948
4233,1999-10-24,?,"San Carlos, Venezuela",Military - Venezuelan Army,?,La Carlota - Acarigua,Arava 201,EV-8012,062,6.0,3.0,3.0,6.0,3.0,3.0,0.0,Crashed during a rainstorm.,1999
2809,1975-08-03,0430,"Near Immouzer, Morocco",Alia Royal Jordanian Airlines,?,Paris - Agadir,Boeing B-707-321C,JY-AEE,18767/376,188.0,181.0,7.0,188.0,181.0,7.0,0.0,"The aircraft was on approach when the right wing tip and No. 4 engine struck a mountain peak at 2,400 feet.  Part of the wing separated and the plane crashed into a ravine. Crew error.",1975
4542,2005-02-22,0715,"Off Sarmi, Indonesia	Sarmi, Indonesia",Indonesian National Police,?,Jayapura - Sarmi,CASA 212 Aviocar,P-2032P-2032,?,18.0,14.0,4.0,15.0,11.0,4.0,0.0,"On final approach, the aircraft crashed into the sea 100 meters off shore, 400 meters short of runway.",2005
2297,1967-07-19,1101,"Near Hendersonville, North Carolina",Piedmont Airlines / Private,22,Ashville - Roanoke,Boeing B-727-22 / Cessna 310,N68650/N3121S,18295/4 / ?,82.0,77.0,5.0,82.0,77.0,5.0,0.0,"Midair collision. The B-727 was climbing away from Asheville Airport when it hit the Cessna, about 8 miles from the airport at 6,000 feet.  Seventy-nine on the B-727 and  3 on the Cessna killed. Deviation from IFR clearance by the Cessna pilot. Confusing transmission by the ATC. Lack of secondary surveillance radar. John T. McNaughton, Navy Secretary designate killed along with his wife and son.",1967
3978,1995-09-01,1200,"Near Farewell, Alaska",North Star Air Cargo,?,Farewell - Anchorage,Shorts SC-7 Skyvan,N30GA,SH-1839,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"While en route the cargo plane flew into a 4,800 ft. mountain. The pilot's continued VFR flight into instrument meteorological conditions. The weather was a factor.",1995
2107,1964-06-20,1740,"Taichung, Taiwan",Civil Air Transport,?,Taichung - Tainan,Curtiss C-46-CU,B-908,2950,57.0,52.0,5.0,57.0,52.0,5.0,0.0,"The plane crashed on takeoff into a rice paddy at San Chiao Village north northeast of the airport. The pilot discovered the left engine was overspeeding and made an abrupt left turn to land at Kung-Kuan Military Air Base. During the turn he lost control and crashed into mountains. Probable cause: About 5 miles west of the accident site was Kung-Kuan Military Air Base. Six miles south-southwest was Shui-Nan Airport from where the aircraft took off. On the right side of the flight pattern was a chain of mountains. It was concluded that, when the pilot found that the left engine was overspeeding, he made an abrupt left turn to land at Kung-Kuan Military Air Base or return to Shui-Nan Airport. During the turn he lost control of the aircraft, which crashed to the ground.",1964
4088,1997-04-16,?,"Near Sorei, Niger",Military - Niger Air Force,?,Lome - Niamey,Lockheed C-130H Hercules,5U-MBD,4829,14.0,,,14.0,,,0.0,Crashed after an engine fire.,1997
1010,1948-01-06,1930,"Paris, France",Air France,?,Brussels - Paris,Douglas DC-3D,F-BAXC,42972,16.0,11.0,5.0,16.0,11.0,5.0,0.0,Crashed into trees a few hundred yards away from the runway while attempting to land at Le Bourget Airport. Both weather and pilot error were considered as causative factors in the accident.,1948
2997,1978-11-21,?,"Near Rubio, Venezuela",Aereo el Venado,?,Cucuta - Arauca,Douglas C-47A,HK-1393,19053,27.0,24.0,3.0,27.0,24.0,3.0,0.0,Crashed in the Rubio mountains.,1978
553,1939-03-16,?,"Manzanares, Colombia",Deutsche Lufthansa,?,?,Junkers JU-86,?,?,8.0,6.0,2.0,8.0,6.0,2.0,0.0,?,1939
2802,1975-06-03,?,"Manila, Philippines",Philippine Air Lines,?,Legaspi - Manilla,BAC One-Eleven 524FF,RP-C1184,190,64.0,59.0,5.0,1.0,1.0,0.0,0.0,A bomb exploded in the right rear lavatory causing a hole in the fuselage. The plane landed safely.,1975
3145,1981-09-29,1900,"Tehran, Iran",Military - Iranian Air Force,IIAF552,Ahwaz - Tehran,Lockheed C-130H,5-158-8552,4594,80.0,75.0,5.0,60.0,75.0,5.0,20.0,Crashed into Tir Square while on approach to land. Killed were Iran's Defense Minister and other military officals.,1981
29,1919-10-14,?,"Cantonsville, Maryland",US Aerial Mail Service,?,?,Curtiss R-4LM,32,?,1.0,0.0,1.0,1.0,0.0,1.0,0.0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",1919
1220,1950-12-13,1330,"Londrina, Brazil",VASP,?,Ribeirao Preto - Sao Paulo,Douglas DC-3,PP-SPT,20543,31.0,25.0,6.0,0.0,0.0,0.0,3.0,The aircraft crashed after losing its No. 1 engine on takeoff. Engine failure during takeoff. Pilot error. Short takeoff procedure used on an airfield where such a maneuver was not necessary.,1950
1598,1956-11-24,0018,"Paris, France",Linee Aeree Italiane,?,Rome - Paris -  Shannon - New York City,Douglas DC-6B,I-LEAD,45075,35.0,25.0,10.0,34.0,24.0,10.0,8.0,"Lost altitude on takeoff and crashed into a house. Failed to climb for reasons unknown. The aircraft's slight loss of altitude soon after take off was the main cause of the accident. There is no explanation for this loss of altitude. Orchestra and opera conductor Guido Cantelli, 36, among those killed.",1956
1756,1959-03-12,1410,"Tobu, India",Indian Airlines,?,Jorhat - Noklok - Jorhat,Douglas C-47A,VT-CYH,12493,7.0,4.0,3.0,5.0,2.0,3.0,0.0,The cargo plane crashed during an attempt by the pilot to clear high terrain under poor visibility conditions. He had previously descended to a low altitude in order to determine his position.,1959
2515,1970-11-27,1330,"Near Nha Trang, South Vietnam",Military - U.S. Air Force,?,Saigon - Nha Trang AB,Fairchild C-123K,55-4574,20236,79.0,73.0,6.0,79.0,73.0,6.0,0.0,Crashed into high ground on a mountainside while on a flight from Saigon to Nha Trang Air Base. Cause unknown.,1970
4523,2004-11-18,1302,"Caracas, Venezuela",Venezolana,213,El Vigia - Caracas,BAe 3101 Jetstream 31,YV-1083C,762,21.0,19.0,2.0,3.0,3.0,0.0,0.0,"The aircraft was arriving on runway 09 at Simon Bolivar Airport when it departed the right side of the runway and cashed into the airport fire house. Weather at the time of the accident was poor, with low ceiling and torrential rain.",2004
3917,1994-09-23,1915,"Kowloon Bay, Hong Kong",Heavylift Cargo Airlines,?,Hong Kong - Jakarta,Lockheed L-100-30 Hercules,PK-PLV,4826,12.0,6.0,6.0,6.0,3.0,3.0,0.0,"The cargo plane lost control shortly after becoming airborne, began losing altitude and ditched 500 meters from the runway. The No. 4 prop pitch control system failed.",1994
3154,1981-11-30,?,"Castries, Saint Lucia Island",Guyana Airways,?,Castries-Miami,Douglas DC-6A,N3486F,43683/305,3.0,0.0,3.0,3.0,0.0,3.0,0.0,Engine failed during takeoff. The cargo plane crashed while returning to the field.,1981
1456,1954-04-03,1340,"Kabassaak, Turkey",Devlet Hava Yollari,?,Adana - Istanbul,Douglas DC-3,TC-ARK,19509,25.0,20.0,5.0,25.0,20.0,5.0,0.0,"Exploded in midair about 25 miles from Adana, 15 minutes after takeoff from Adana.",1954
2284,1967-05-19,1837,"Ottawa, Ontario, Canada",Air Canada,?,Training -Montreal - Ottawa,Douglas DC-8-54F,CF-TJM,45653/178,3.0,0.0,3.0,3.0,0.0,3.0,0.0,The plane rolled to the right and crashed inverted. Failure to abandon a training maneuver under conditions which precluded the availability of adequate flight control.,1967
4874,2013-11-03,1600,"Riberalta, Bolivia",Aerocon,?,"Trinidad, Bolivia - Riberalta, Bolivia",Swearingen SA227-AC Metro III,CP-275,AC-721B,18.0,16.0,2.0,8.0,8.0,0.0,0.0,"While landing in heavy rain, the aircraft veered off the runway, caught fire after hitting some brush and came to rest inverted.",2013
1592,1956-10-19,?,"Agartala, India",Indian Airlines,?,?,Douglas DC-3,VT-DGK,KAL-2,3.0,0.0,3.0,3.0,0.0,3.0,0.0,"The cargo plane crashed after an attempted go-around. On final, as the pilot-in-command was unable to locate the runway, he decided to make a new go around when the aircraft struck trees and crashed in flames few km short of runway.",1956
4216,1999-07-07,1951,"Near Kathmandu, Nepal",Lufthansa Cargo Airlines,8533,Kathmandu - New Delhi,Boeing 727-243F,VT-LCI,22168/1770,5.0,0.0,5.0,5.0,0.0,5.0,0.0,"The cargo plane crashed into the Champadevi mountains at an altitude of 7,500 ft. The plane was flying too low.  Failure to the adhere to Standard Instrument Departure Procedure by the crew and failure of the controllers to warn the flight.",1999
65,1922-03-22,1140,North Atlantic Ocean,Aero Limited,?,Miami - Bimini,Aeromarine Model 85 (flying boat),?,?,6.0,5.0,1.0,5.0,5.0,0.0,0.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",1922
3926,1994-10-29,1032,"Batagaj, Russia",Yakutavia,?,?,Antonov AN-2,RA-33008,1G217-55,19.0,17.0,2.0,7.0,7.0,0.0,0.0,Pitched up and crashed on takeoff. Overweight and improperly loaded.,1994
4730,2009-06-07,0830,"Near Port Hope Simpson, Newfoundland, Canada",Strait Air,?,Lourdes de Blanc Sablon - Port Hope Simpson,Britten-Norman BN-2A-27 Islander,C-FJJR,424,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The air ambulance crashed into hills while attempting to land in heavy fog about 4 miles from the airport.,2009
2984,1978-09-14,1450,"Paranaque, Philippines",Philippine Air Force,?,Laoag - Paranaque,Fokker F-27 Friendship 200,PH-FKY,10328,28.0,24.0,4.0,21.0,17.0,4.0,12.0,The domestic flight crashed while attempting to land at Paranaque in thunderstorms with heavy rain and wind gusts. Possible lightning strike.,1978
1420,1953-10-14,1454,"Frankfurt, Germany",Sabena,?,Salzburg - Frankfurt - Brussels,Convair CV-240-12,OO-AWQ,154,44.0,40.0,4.0,44.0,40.0,4.0,0.0,Crashed while attempting to take off. Loss of engine power on takeoff. The loss of power may possibly be attributed to the heavy deposit of lead on the spark plugs.,1953
1869,1960-11-23,1845,"Manila, Philippines",Philippine Air Lines,26,Iloilo - Manila,Douglas DC-3,PI-C133,13397,33.0,29.0,4.0,33.0,29.0,4.0,0.0,Crashed into Mt. Baco while en route. Navigational error under adverse weather conditions.,1960
23,1918-12-16,?,"Elizabeth, New Jersey",US Aerial Mail Service,?,?,De Havilland DH-4,97,?,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,1918
240,1930-12-09,?,"Shanghai, China",China National Aviation Corporation,?,Shanghai - Hankow,Loening C-W Air Yaht,?,?,6.0,4.0,2.0,4.0,2.0,2.0,0.0,"The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named ""Shanghai"".",1930
2710,1973-10-02,2336,"Magadan, Russia",Aeroflot,3932,Yakutsk - Magadan,Antonov AN-12V,CCCP-12967,9346502,10.0,8.0,2.0,10.0,8.0,2.0,0.0,The cargo plane struck high ground after going off course during a go-around. Crew error.,1973
1551,1955-12-17,2040,"Hollywood, South Carolina",Riddle Airlines,?,New York - Miami,Curtiss C-46A,N9904F,30262,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The cargo plane was carrying mail . An in-flight structural failure resulting from a violent pitch-down induced by the erratic action of nonconforming elevator tab controls.,1955
468,1937-08-02,?,"Wadi Halfa, Sudan",Ala Littoria,?,"Rome, Italy - Kartoum",Savoia-Marchetti SM73,I-SUSA,30014,9.0,5.0,4.0,9.0,5.0,4.0,0.0,"Crashed into a building on takeoff. The accident happened after the crew abandoned the approach and attempt an overshoot maneuver,",1937
544,1938-12-12,?,"Darwin, Australia",Qantas,?,?,Short S23 ‘C’ Class flying boat,G-AEUH,?,13.0,,,13.0,,,0.0,Shot down by Japanese aircraft. Owned by Imperial Airways and operated by Qantas.,1938
1902,1961-07-12,0129,"Casablanca, Morocco",Ceskoslovenske Aerolinie,511,Zurich - Rabat,Ilyushin IL-18B,OK-PAF,181002904,72.0,64.0,8.0,72.0,64.0,8.0,0.0,"On reaching Rabat, the plane was diverted to Casablanca because of poor ground visibility. Conditions at Casablanca were a little better but the plane overshot the runway on its first approach. With worsening conditions the pilot asked to land at the U.S. Air Force base at Nouasseur. While the tower was seeking permission, the pilot saw a window of opportunity and tried again to land at Casablanca. The aircraft crashed into a hillside and burned eight miles short of the runway.",1961
227,1930-07-21,15:00,"Near Meopham, Kent, England",Walcot Air Line,?,"London - Le touquet, France",Junkers F-13ge,G-AAZK,?,6.0,4.0,2.0,6.0,4.0,2.0,0.0,The plane crashed about 10 miles from it's destination. Possible buffeting or irregular ocillation of the horizontal stabilizer leading to separation of the left stabilizer.,1930
4933,2016-04-29,1150,"Sorta, Norway",CHC Helikopter Service,?,Gullfflex B - Bergen,Eurocopter EC225LP Super Puma M2+,LN-OJF,2721,13.0,11.0,2.0,13.0,11.0,2.0,0.0,The helicopter crashed on the rocky shores of Tuoy Island whle returning to Bergen from Oil platform Gullflex B. All 11 passengers and 2 pilots were killed. A video taken by an eyewitness shows the main rotor separating from the helicopter before it crashed.,2016
4448,2003-06-25,1300,"Near Rudshour, Iran",Military - Islamic Republic of Iran Air Force,?,?,Lockheed C-130 Hercules,?,?,7.0,0.0,7.0,7.0,0.0,7.0,0.0,Nose dived into the ground shortly after takeoff near the Shur River.,2003
4068,1996-12-22,1810,"Narrows, Virginia",Airborne Express,827,Test flight,McDonnell Douglas DC-8-63F,N827AX,45901/293,6.0,3.0,3.0,6.0,3.0,3.0,0.0,"The cargo plane struck mountainous terrain after experiencing a stall during tests. The inappropriate control inputs applied by the flying pilot during a stall recovery attempt, the failure of the non-flying pilot-in-command to recognize, address and correct these inappropriate control inputs, and the failure of Airborne Express to establish a formal, functional evaluation flight program that included adequate program guidelines, requirements and pilot training for performance of these flights. Contributing to the cause of the accident were the inoperative stick shaker stall warning system and Airborne Express DC-8 flight training simulator's inadequate fidelity in reproducing the airplane's stall characteristics.",1996
